,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family Aboard,Alone
0,0,3,1,22.0,1,0,7.25,S,Mr,1,0
1,1,1,0,38.0,1,0,71.2833,C,Mrs,1,0
2,1,3,0,26.0,0,0,7.925,S,Miss,0,1
3,1,1,0,35.0,1,0,53.1,S,Mrs,1,0
4,0,3,1,35.0,0,0,8.05,S,Mr,0,1
5,0,3,1,,0,0,8.4583,Q,Mr,0,1
6,0,1,1,54.0,0,0,51.8625,S,Mr,0,1
7,0,3,1,2.0,3,1,21.075,S,Master,4,0
8,1,3,0,27.0,0,2,11.1333,S,Mrs,2,0
9,1,2,0,14.0,1,0,30.0708,C,Mrs,1,0
10,1,3,0,4.0,1,1,16.7,S,Miss,2,0
11,1,1,0,58.0,0,0,26.55,S,Miss,0,1
12,0,3,1,20.0,0,0,8.05,S,Mr,0,1
13,0,3,1,39.0,1,5,31.275,S,Mr,6,0
14,0,3,0,14.0,0,0,7.8542,S,Miss,0,1
15,1,2,0,55.0,0,0,16.0,S,Mrs,0,1
16,0,3,1,2.0,4,1,29.125,Q,Master,5,0
17,1,2,1,,0,0,13.0,S,Mr,0,1
18,0,3,0,31.0,1,0,18.0,S,Mrs,1,0
19,1,3,0,,0,0,7.225,C,Mrs,0,1
20,0,2,1,35.0,0,0,26.0,S,Mr,0,0
21,1,2,1,34.0,0,0,13.0,S,Mr,0,1
22,1,3,0,15.0,0,0,8.0292,Q,Miss,0,1
23,1,1,1,28.0,0,0,35.5,S,Mr,0,1
24,0,3,0,8.0,3,1,21.075,S,Miss,4,0
25,1,3,0,38.0,1,5,31.3875,S,Mrs,6,0
26,0,3,1,,0,0,7.225,C,Mr,0,1
27,0,1,1,19.0,3,2,263.0,S,Mr,5,0
28,1,3,0,,0,0,7.8792,Q,Miss,0,1
29,0,3,1,,0,0,7.8958,S,Mr,0,1
30,0,1,1,40.0,0,0,27.7208,C,Special,0,1
31,1,1,0,,1,0,146.5208,C,Mrs,1,0
32,1,3,0,,0,0,7.75,Q,Miss,0,1
33,0,2,1,66.0,0,0,10.5,S,Mr,0,1
34,0,1,1,28.0,1,0,82.1708,C,Mr,1,0
35,0,1,1,42.0,1,0,52.0,S,Mr,1,0
36,1,3,1,,0,0,7.2292,C,Mr,0,1
37,0,3,1,21.0,0,0,8.05,S,Mr,0,1
38,0,3,0,18.0,2,0,18.0,S,Miss,2,0
39,1,3,0,14.0,1,0,11.2417,C,Miss,1,0
40,0,3,0,40.0,1,0,9.475,S,Mrs,1,0
41,0,2,0,27.0,1,0,21.0,S,Mrs,1,0
42,0,3,1,,0,0,7.8958,C,Mr,0,1
43,1,2,0,3.0,1,2,41.5792,C,Miss,3,0
44,1,3,0,19.0,0,0,7.8792,Q,Miss,0,1
45,0,3,1,,0,0,8.05,S,Mr,0,1
46,0,3,1,,1,0,15.5,Q,Mr,1,0
47,1,3,0,,0,0,7.75,Q,Miss,0,1
48,0,3,1,,2,0,21.6792,C,Mr,2,0
49,0,3,0,18.0,1,0,17.8,S,Mrs,1,0
50,0,3,1,7.0,4,1,39.6875,S,Master,5,0
51,0,3,1,21.0,0,0,7.8,S,Mr,0,1
52,1,1,0,49.0,1,0,76.7292,C,Mrs,1,0
53,1,2,0,29.0,1,0,26.0,S,Mrs,1,0
54,0,1,1,65.0,0,1,61.9792,C,Mr,1,0
55,1,1,1,,0,0,35.5,S,Mr,0,1
56,1,2,0,21.0,0,0,10.5,S,Miss,0,1
57,0,3,1,28.5,0,0,7.2292,C,Mr,0,1
58,1,2,0,5.0,1,2,27.75,S,Miss,3,0
59,0,3,1,11.0,5,2,46.9,S,Master,7,0
60,0,3,1,22.0,0,0,7.2292,C,Mr,0,1
61,1,1,0,38.0,0,0,80.0,S,Miss,0,0
62,0,1,1,45.0,1,0,83.475,S,Mr,1,0
63,0,3,1,4.0,3,2,27.9,S,Master,5,0
64,0,1,1,,0,0,27.7208,C,Mr,0,1
65,1,3,1,,1,1,15.2458,C,Master,2,0
66,1,2,0,29.0,0,0,10.5,S,Mrs,0,1
67,0,3,1,19.0,0,0,8.1583,S,Mr,0,1
68,1,3,0,17.0,4,2,7.925,S,Miss,6,0
69,0,3,1,26.0,2,0,8.6625,S,Mr,2,0
70,0,2,1,32.0,0,0,10.5,S,Mr,0,1
71,0,3,0,16.0,5,2,46.9,S,Miss,7,0
72,0,2,1,21.0,0,0,73.5,S,Mr,0,0
73,0,3,1,26.0,1,0,14.4542,C,Mr,1,0
74,1,3,1,32.0,0,0,56.4958,S,Mr,0,0
75,0,3,1,25.0,0,0,7.65,S,Mr,0,1
76,0,3,1,,0,0,7.8958,S,Mr,0,1
77,0,3,1,,0,0,8.05,S,Mr,0,1
78,1,2,1,0.83,0,2,29.0,S,Master,2,0
79,1,3,0,30.0,0,0,12.475,S,Miss,0,0
80,0,3,1,22.0,0,0,9.0,S,Mr,0,1
81,1,3,1,29.0,0,0,9.5,S,Mr,0,1
82,1,3,0,,0,0,7.7875,Q,Miss,0,1
83,0,1,1,28.0,0,0,47.1,S,Mr,0,1
84,1,2,0,17.0,0,0,10.5,S,Miss,0,1
